0 95
43 6 24
43 8 5
43 9 16
43 41 4
43 59 6
43 11 25
43 31 14
44 2 5
44 34 25
44 51 22
44 52 16
44 37 9
44 23 12
44 10 16
44 26 12
44 28 20
45 32 24
45 48 11
45 18 7
45 22 24
45 54 2
45 56 14
45 57 5
45 59 24
45 29 15
45 30 1
46 32 2
46 2 19
46 3 7
46 4 18
46 24 16
46 56 23
46 57 2
46 25 21
46 59 20
46 29 14
47 48 21
47 50 19
47 34 15
47 36 13
47 7 24
47 39 1
47 56 11
47 43 15
47 27 19
47 45 9
48 16 10
48 3 8
48 36 11
48 20 9
48 53 13
48 54 14
48 6 3
48 10 7
48 58 2
48 59 20
49 34 16
49 3 6
49 5 15
49 22 15
49 40 25
49 58 24
49 45 14
49 30 20
49 46 16
49 15 14
50 64 25
50 17 22
50 1 8
50 2 18
50 37 3
50 21 23
50 40 5
50 25 1
50 11 20
50 60 13
51 64 17
51 1 24
51 66 3
51 35 8
51 68 17
51 52 12
51 7 13
51 25 24
51 57 7
51 43 5
52 33 7
52 67 19
52 36 23
52 69 13
52 5 22
52 6 5
52 59 7
52 46 23
52 62 5
52 47 14
53 49 18
53 4 16
53 69 23
53 22 12
53 38 22
53 40 9
53 11 15
53 44 23
53 46 15
53 47 13
54 64 1
54 33 21
54 1 4
54 52 1
54 69 20
54 55 7
54 40 24
54 9 10
54 27 13
54 61 23
55 32 2
55 65 7
55 66 9
55 51 2
55 56 1
55 59 3
55 28 5
55 61 6
55 46 12
55 31 22
56 48 13
56 17 2
56 18 9
56 50 24
56 68 13
56 4 9
56 20 12
56 27 20
56 28 10
56 63 12
57 48 25
57 16 4
57 50 23
57 69 9
57 7 8
57 56 14
57 24 13
57 41 17
57 11 15
57 63 24
58 2 2
58 18 3
58 51 24
58 68 5
58 4 10
58 20 14
58 69 21
58 55 3
58 43 14
58 44 21
59 34 6
59 67 20
59 68 18
59 53 16
59 40 20
59 10 21
59 27 22
59 29 7
59 30 10
59 47 10
60 48 7
60 2 13
60 53 18
60 55 2
60 56 8
60 58 3
60 59 13
60 27 20
60 76 15
60 61 9
61 17 21
61 18 19
61 35 18
61 3 14
61 70 3
61 38 17
61 8 4
61 41 4
61 13 22
61 79 25
62 50 21
62 20 11
62 21 15
62 40 15
62 41 4
62 58 2
62 74 22
62 59 21
62 76 7
62 45 16
63 33 17
63 34 19
63 53 11
63 38 7
63 9 6
63 73 7
63 41 16
63 75 10
63 78 18
63 14 23
64 65 11
64 67 24
64 4 5
64 5 20
64 69 12
64 22 21
64 55 4
64 43 17
64 77 21
64 47 1
65 80 25
65 51 18
65 68 2
65 52 3
65 70 12
65 56 4
65 73 17
65 43 16
65 28 8
65 15 16
66 16 24
66 19 25
66 4 15
66 22 2
66 71 16
66 59 14
66 76 3
66 28 22
66 45 20
66 79 11
67 53 14
67 71 22
67 72 18
67 25 4
67 11 24
67 27 21
67 29 25
67 46 4
67 78 3
67 31 1
68 50 16
68 66 22
68 52 17
68 20 16
68 40 23
68 25 23
68 12 15
68 61 25
68 78 14
68 46 9
69 49 10
69 50 5
69 4 13
69 5 8
69 10 11
69 75 10
69 11 18
69 44 22
69 78 10
69 15 10
70 66 9
70 2 7
70 36 8
70 52 11
70 53 6
70 88 10
70 59 7
70 76 3
70 94 24
70 79 22
71 64 2
71 34 7
71 68 23
71 53 7
71 85 18
71 87 17
71 89 9
71 42 5
71 76 1
71 63 23
72 34 1
72 35 13
72 3 24
72 36 5
72 84 7
72 24 2
72 40 7
72 91 21
72 94 9
72 31 1
73 48 22
73 2 18
73 18 13
73 51 3
73 37 6
73 88 5
73 8 10
73 90 18
73 93 22
73 47 11
74 50 22
74 84 13
74 53 12
74 89 12
74 25 18
74 73 3
74 92 7
74 44 20
74 29 18
74 94 15
75 16 19
75 81 6
75 51 13
75 36 5
75 85 7
75 54 16
75 40 3
75 10 15
75 44 22
75 94 3
76 32 22
76 65 10
76 83 19
76 19 12
76 35 22
76 23 6
76 88 3
76 41 13
76 11 24
76 30 4
77 65 9
77 70 5
77 86 8
77 55 21
77 88 4
77 25 25
77 42 3
77 28 13
77 31 5
77 63 1
78 82 19
78 36 17
78 4 24
78 5 13
78 21 2
78 70 19
78 8 2
78 88 3
78 9 20
78 29 4
79 17 3
79 1 4
79 50 20
79 19 10
79 85 16
79 6 15
79 28 4
79 29 14
79 62 23
79 47 24
80 49 19
80 84 5
80 69 25
80 5 23
80 39 22
80 40 1
80 56 21
80 58 13
80 28 14
80 62 13
81 34 11
81 4 2
81 71 1
81 87 15
81 57 12
81 90 2
81 74 18
81 77 17
81 95 18
82 49 19
82 2 10
82 4 14
82 5 5
82 85 21
82 7 8
82 11 15
82 46 17
82 95 6
83 64 6
83 66 21
83 67 18
83 84 15
83 21 7
83 86 3
83 40 7
83 9 10
83 60 14
83 95 18
84 55 8
84 71 3
84 39 1
84 24 7
84 57 14
84 90 21
84 44 5
84 95 17
85 34 25
85 66 7
85 51 24
85 8 10
85 12 23
85 94 16
85 62 15
85 95 4
86 80 4
86 65 5
86 68 19
86 25 10
86 27 4
86 60 5
86 92 5
86 95 4
87 17 25
87 2 18
87 18 15
87 36 22
87 68 9
87 6 19
87 55 13
87 77 20
87 95 2
88 80 3
88 20 23
88 56 22
88 41 20
88 14 24
88 62 5
88 95 8
88 15 16
88 79 1
89 65 22
89 66 11
89 70 24
89 40 19
89 8 4
89 57 24
89 10 6
89 44 1
89 95 11
89 47 14
90 36 14
90 21 14
90 54 19
90 55 25
90 8 12
90 59 5
90 29 23
90 14 20
90 46 15
90 95 12
91 66 18
91 68 4
91 69 7
91 53 11
91 71 6
91 55 4
91 60 9
91 95 12
91 31 12
92 2 6
92 85 23
92 6 4
92 55 19
92 91 9
92 12 18
92 93 21
92 94 5
92 95 6
93 32 14
93 80 5
93 1 17
93 4 6
93 85 18
93 25 7
93 30 12
93 95 10
94 1 19
94 82 5
94 18 10
94 84 2
94 6 8
94 39 12
94 62 16
94 95 23
